"","station","Från Datum Tid (UTC)","Till Datum Tid (UTC)","year","month","Rain","Kvalitet","Latitude","Longitude"
"1","Faaroo.csv","1881-11-01 07:00:01","1881-12-01 07:00:00","1881","11",20,"G",57.95481,19.2459
"2","Faaroo.csv","1881-12-01 07:00:01","1882-01-01 07:00:00","1881","12",21,"G",57.95481,19.2459
"3","Faaroo.csv","1882-01-01 07:00:01","1882-02-01 07:00:00","1882","01",24,"G",57.95481,19.2459
"4","Faaroo.csv","1882-02-01 07:00:01","1882-03-01 07:00:00","1882","02",11,"G",57.95481,19.2459
"5","Faaroo.csv","1882-03-01 07:00:01","1882-04-01 07:00:00","1882","03",18,"G",57.95481,19.2459
"6","Faaroo.csv","1882-04-01 07:00:01","1882-05-01 07:00:00","1882","04",20,"G",57.95481,19.2459
"7","Faaroo.csv","1882-05-01 07:00:01","1882-06-01 07:00:00","1882","05",14,"G",57.95481,19.2459
"8","Faaroo.csv","1882-06-01 07:00:01","1882-07-01 07:00:00","1882","06",15,"G",57.95481,19.2459
"9","Faaroo.csv","1882-07-01 07:00:01","1882-08-01 07:00:00","1882","07",77,"G",57.95481,19.2459
"10","Faaroo.csv","1882-08-01 07:00:01","1882-09-01 07:00:00","1882","08",44,"G",57.95481,19.2459
"11","Faaroo.csv","1882-09-01 07:00:01","1882-10-01 07:00:00","1882","09",23,"G",57.95481,19.2459
"12","Faaroo.csv","1882-10-01 07:00:01","1882-11-01 07:00:00","1882","10",32,"G",57.95481,19.2459
"13","Faaroo.csv","1882-11-01 07:00:01","1882-12-01 07:00:00","1882","11",63,"G",57.95481,19.2459
"14","Faaroo.csv","1882-12-01 07:00:01","1883-01-01 07:00:00","1882","12",22,"G",57.95481,19.2459
"15","Faaroo.csv","1883-01-01 07:00:01","1883-02-01 07:00:00","1883","01",14,"G",57.95481,19.2459
"16","Faaroo.csv","1883-02-01 07:00:01","1883-03-01 07:00:00","1883","02",9,"G",57.95481,19.2459
"17","Faaroo.csv","1883-03-01 07:00:01","1883-04-01 07:00:00","1883","03",14,"G",57.95481,19.2459
"18","Faaroo.csv","1883-04-01 07:00:01","1883-05-01 07:00:00","1883","04",3,"G",57.95481,19.2459
"19","Faaroo.csv","1883-05-01 07:00:01","1883-06-01 07:00:00","1883","05",44,"G",57.95481,19.2459
"20","Faaroo.csv","1883-06-01 07:00:01","1883-07-01 07:00:00","1883","06",67,"G",57.95481,19.2459
"21","Faaroo.csv","1883-07-01 07:00:01","1883-08-01 07:00:00","1883","07",54,"G",57.95481,19.2459
"22","Faaroo.csv","1883-08-01 07:00:01","1883-09-01 07:00:00","1883","08",56,"G",57.95481,19.2459
"23","Faaroo.csv","1883-09-01 07:00:01","1883-10-01 07:00:00","1883","09",74,"G",57.95481,19.2459
